player.id,historical.id_ncaa,season.year_ncaa,team.id_ncaa,stat.games_ncaa,stat.gamesStart_ncaa,stat.minutes_ncaa,stat.fg_ncaa,stat.fga_ncaa,stat.fgPct_ncaa,stat.fg2_ncaa,stat.fg2a_ncaa,stat.fg2Pct_ncaa,stat.fg3_ncaa,stat.fg3a_ncaa,stat.fg3Pct_ncaa,stat.ft_ncaa,stat.fta_ncaa,stat.ftPct_ncaa,stat.orb_ncaa,stat.drb_ncaa,stat.trb_ncaa,stat.ast_ncaa,stat.stl_ncaa,stat.blk_ncaa,stat.tov_ncaa,stat.pf_ncaa,stat.pts_ncaa,stat.PERColl,stat.PERNBA,stat.collBrL,stat.collBrR,stat.collCornL,stat.collCornR,stat.collTop,stat.fiftBrL,stat.fiftBrR,stat.fiftCornL,stat.fiftCornR,stat.fiftTop,stat.drblCollBrL,stat.drblCollBrR,stat.drblCollTop,stat.drblFiftBrL,stat.drblFiftBrR,stat.drblFiftTop,stat.otmColl,stat.otmFift,stat.laneAgil,stat.shtlRun,stat.threeQuartSprint,stat.standVerLeap,verticalLeap,stat.benchPress,"stat,bodyFat",stat.handLen,stat.handWid,stat.ht,"stat,htShoe",stat.standReach,"stat,wt",wingspan,player.name,success
1868122.0,18845.0,2004.0,7664285.0,29.0,28.0,916.0,186.0,295.0,0.631,186.0,294.0,0.633,0.0,1.0,0.0,125.0,232.0,0.539,108.0,146.0,254.0,25.0,17.0,85.0,78.0,94.0,497.0,0.6375545851528385,0.3899498310262588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1868730.0,83613.0,2015.0,9056627.0,34.0,7.0,755.0,117.0,257.0,0.455,100.0,195.0,0.513,17.0,62.0,0.274,94.0,112.0,0.839,44.0,178.0,222.0,20.0,10.0,89.0,47.0,82.0,345.0,0.6370860927152318,0.6102153751598232,,,,,,,,,,,,,,,,,,,,,,,,,0.093,9.25,9.25,82.0,6' 11.5'',112.0,238.6,88.0,myles turner,1
1882363.0,122285.5,2019.0,7700634.0,30.5,16.75,747.5,100.0,237.5,0.4305,61.0,125.25,0.45899999999999996,39.0,112.25,0.3745,89.5,106.0,0.8242499999999999,16.0,99.75,115.75,78.25,20.25,8.5,52.0,44.75,328.5,0.46205373201880134,0.4901568135767813,,,,,,,,,,,,,,,,,,,10.94,3.19,3.07,25.0,35.0,,0.11,8.0,8.25,77.0,6'5.75'',101.0,197.2,78.0,austin reaves,1
1885732.0,52307.5,2011.5,3675717.0,39.0,24.5,1163.5,168.0,346.5,0.4855,96.0,195.0,0.493,72.0,151.5,0.476,101.0,124.5,0.808,17.0,74.5,91.5,61.0,20.5,4.0,47.0,78.5,509.0,0.3752805583984813,0.19565643300655292,,,,,,,,,,,,,,,,,,,11.12,,3.41,29.0,33.5,2.0,0.067,8.5,8.75,76.0,6' 4.75'',98.0,199.4,79.0,doron lamb,0
1898455.0,122688.0,2019.0,4422787.0,36.0,0.0,656.0,131.0,274.0,0.478,117.0,222.0,0.527,14.0,52.0,0.269,77.0,100.0,0.77,57.0,109.0,166.0,24.0,19.0,19.0,48.0,59.0,353.0,0.5594512195121951,0.4125790392440793,,,,,,1.0,0.6,,1.0,0.4,,,,0.0,0.5,0.5,0.667,0.8,12.15,3.1,3.24,31.0,38.5,5.0,0.059,8.75,10.0,77.0,6' 6'',104.0,224.2,85.0,nassir little,0
1909428.0,23513.75,2005.5,3076348.0,27.75,18.0,747.75,99.5,216.0,0.45775,82.0,163.0,0.5065,17.5,53.0,0.31,65.0,101.5,0.62675,27.5,65.0,92.5,79.25,50.5,11.75,60.75,67.25,281.5,0.38028983913355285,0.24074074074074073,,,,,,,,,,,,,,,,,,,10.87,,3.14,28.5,35.0,21.0,0.045,,,76.0,6' 5'',101.0,199.0,78.0,dj strawberry,0
1911451.0,111307.33333333333,2017.3333333333333,5282090.333333333,15.0,6.666666666666667,270.0,32.666666666666664,80.66666666666667,0.442,28.0,65.66666666666667,0.447,4.666666666666667,15.0,0.24,19.666666666666668,30.666666666666668,0.6636666666666667,6.333333333333333,16.666666666666668,23.0,33.333333333333336,11.0,0.3333333333333333,23.333333333333332,32.0,89.66666666666667,0.3112925621757326,0.44537082919224047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1917715.0,27362.5,2006.5,5773944.0,24.75,24.25,756.25,137.0,243.75,0.55425,136.75,243.0,0.55475,0.25,0.75,0.08325,87.5,126.75,0.6635,60.5,126.5,187.0,23.25,17.0,49.5,43.25,63.25,361.75,0.5976943408365187,0.4697529524509975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1921998.0,49069.0,2011.0,9056627.0,36.0,36.0,1166.0,136.0,322.0,0.422,84.0,196.0,0.429,52.0,126.0,0.413,51.0,73.0,0.699,23.0,105.0,128.0,109.0,37.0,11.0,54.0,65.0,375.0,0.34133790737564323,0.39823183354671804,,,,,,,,,,,,,,,,,,,10.75,,3.27,27.5,35.0,5.0,0.097,8.5,10.5,75.0,6' 3.25'',99.0,186.2,78.0,cory joseph,0
1930499.0,101909.0,2017.0,9056627.0,33.0,33.0,1061.0,179.0,316.0,0.566,179.0,309.0,0.579,0.0,7.0,0.0,84.0,149.0,0.564,100.0,178.0,278.0,27.0,19.0,51.0,84.0,68.0,442.0,0.5004712535344015,0.7095041005075614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1936878.0,135888.5,2020.5,6157548.0,27.5,16.5,702.0,126.0,285.5,0.44,60.0,120.0,0.48450000000000004,66.0,165.5,0.40249999999999997,55.0,66.5,0.7645,7.0,83.5,90.5,53.5,35.5,7.0,55.0,62.0,373.0,0.470082339556545,0.5166066151515613,,,,,,,,,,,,,,,,,,,10.53,3.17,3.1,26.5,34.0,,0.058,8.75,9.0,75.0,6'3.5'',102.0,169.0,81.0,nahshon hyland,1
1937464.0,22887.5,2005.5,6522666.0,32.75,32.25,1016.5,111.75,247.5,0.455,86.75,177.0,0.49275,25.0,70.5,0.358,81.0,103.0,0.7837500000000001,23.25,99.25,122.5,167.5,39.0,3.25,97.0,71.75,329.5,0.39986427377809,0.08976558033161806,,,,,,,,,,,,,,,,,,,11.82,,3.27,28.5,35.0,11.0,0.041,,,76.0,6' 4.5'',99.0,185.0,78.0,mustafa shakur,0
1946737.0,61788.0,2012.5,9109832.0,36.5,35.5,1302.5,218.0,484.5,0.448,151.5,303.5,0.498,66.5,181.0,0.366,113.0,145.5,0.7725,21.5,99.5,121.0,208.0,46.5,16.5,90.0,63.0,615.5,0.4695580096119839,0.4326123014482637,,,,,,,,,,,,,,,,,,,11.2,3.01,3.16,29.5,36.5,3.0,0.069,8.25,8.75,72.0,6' 1.25'',97.0,187.0,78.0,trey burke,0
1946864.0,151923.0,2022.0,9218344.0,39.0,25.0,935.0,146.0,296.0,0.493,75.0,137.0,0.547,71.0,159.0,0.447,42.0,53.0,0.792,30.0,123.0,153.0,38.0,20.0,22.0,25.0,42.0,405.0,0.4834224598930481,0.2738207045093104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,aj griffin,0
